"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"10.12.2024","6,0450","6,0793","6,0835","6,0170","","-0,56%"
"09.12.2024","6,0788","6,0897","6,0904","6,0369","","-0,17%"
"06.12.2024","6,0894","6,0116","6,0952","5,9836","","1,30%"
"05.12.2024","6,0113","6,0381","6,0384","5,9598","","-0,49%"
"04.12.2024","6,0409","6,0413","6,0738","6,0198","","-0,05%"
"03.12.2024","6,0440","6,0584","6,0957","6,0285","","-0,23%"
"02.12.2024","6,0580","6,0002","6,0914","6,0002","","1,42%"
"29.11.2024","5,9730","6,0037","6,1159","5,9557","","-0,69%"
"28.11.2024","6,0142","5,9710","6,0230","5,9458","","1,29%"
"27.11.2024","5,9377","5,8122","5,9401","5,8033","","2,21%"
"26.11.2024","5,8095","5,8113","5,8335","5,7804","","0,19%"
"25.11.2024","5,7983","5,7867","5,8212","5,7755","","-0,05%"
"22.11.2024","5,8010","5,8142","5,8326","5,7879","","-0,23%"
"21.11.2024","5,8144","5,7759","5,8337","5,7755","","0,73%"
"20.11.2024","5,7725","5,7731","5,7759","5,7727","","0,05%"
"19.11.2024","5,7694","5,7469","5,7978","5,7450","","0,38%"
"18.11.2024","5,7473","5,7951","5,8003","5,7351","","-0,82%"
"15.11.2024","5,7947","5,7956","5,7964","5,7950","","0,10%"
"14.11.2024","5,7890","5,8032","5,8296","5,7602","","-0,29%"
"13.11.2024","5,8061","5,7482","5,8183","5,7218","","0,99%"
"12.11.2024","5,7490","5,7546","5,7990","5,7463","","-0,12%"
"11.11.2024","5,7559","5,7756","5,8167","5,7505","","0,32%"
"08.11.2024","5,7376","5,6926","5,7910","5,6912","","0,80%"
"07.11.2024","5,6923","5,6774","5,7239","5,6336","","0,23%"
"06.11.2024","5,6793","5,7512","5,8625","5,6644","","-1,24%"
"05.11.2024","5,7508","5,7699","5,8054","5,7393","","-0,70%"
"04.11.2024","5,7916","5,8681","5,8697","5,7558","","-1,30%"
"01.11.2024","5,8681","5,7885","5,8754","5,7620","","1,41%"
"31.10.2024","5,7867","5,7624","5,7949","5,7534","","0,41%"
"30.10.2024","5,7630","5,7610","5,7928","5,7545","","0,05%"
"29.10.2024","5,7604","5,7103","5,7673","5,6974","","0,89%"
"28.10.2024","5,7096","5,7076","5,7206","5,6855","","0,04%"
